srv13-mme-2-tac2-secondary,192.168.101.21,192.168.102.99,192.168.63.99,192.168.88.99,2
srv13-mme-3-tac5-secondary,192.168.101.22,192.168.102.100,192.168.63.100,192.168.88.100,5
srv13-mme-4-tac22-primary,192.168.101.23,192.168.102.101,192.168.63.101,192.168.88.101,22
srv13-mme-5-tac21-secondary,192.168.101.24,192.168.102.102,192.168.63.102,192.168.88.102,21
srv13-mme-6-tac18-primary,192.168.101.25,192.168.102.103,192.168.63.103,192.168.88.103,18
srv13-mme-7-tac16-Secondary,192.168.101.26,192.168.102.104,192.168.63.104,192.168.88.104,16
srv13-mme-8-tac9-primary,192.168.101.27,192.168.102.105,192.168.63.105,192.168.88.105,9
srv13-mme-9-tac7-secondary,192.168.101.28,192.168.102.106,192.168.63.106,192.168.88.106,7
srv13-mme-10-tac4-primary,192.168.101.29,192.168.102.107,192.168.63.107,192.168.88.107,4
srv14-mme-1-tac1-secondary,192.168.101.40,192.168.102.130,192.168.63.130,192.168.88.130,1
srv14-mme-2-TAC5-Primary,192.168.101.41,192.168.102.131,192.168.63.131,192.168.88.131,5
srv14-mme-3-TAC3-primary,192.168.101.42,192.168.102.132,192.168.63.132,192.168.88.132,3
srv14-mme-4-TAC23-Secondary,192.168.101.43,192.168.102.133,192.168.63.133,192.168.88.133,23
srv14-mme-5-tac20-primary,192.168.101.44,192.168.102.134,192.168.63.134,192.168.88.134,20
srv14-mme-6-TAC19-Secondary,192.168.101.45,192.168.102.135,192.168.63.135,192.168.88.135,19
srv14-mme-7-TAC11-12-14-Primary,192.168.101.46,192.168.102.136,192.168.63.136,192.168.88.136,11-12-14
srv14-mme-8-TAC10-Secondary,192.168.101.47,192.168.102.137,192.168.63.137,192.168.88.137,10
srv14-mme-10-tac6-secondary,192.168.101.49,192.168.102.139,192.168.63.139,192.168.88.139,6
srv15-mme-1-Karaj-TAC8-13-15-Secondary,192.168.101.60,192.168.102.162,192.168.63.162,192.168.88.162,8-13-15-27
srv15-mme-2-tac2-primary,192.168.101.61,192.168.102.163,192.168.63.163,192.168.88.163,2
srv15-mme-3-tac17-primary,192.168.101.62,192.168.102.164,192.168.63.164,192.168.88.164,17
srv15-mme-4-tac22-secondary,192.168.101.63,192.168.102.165,192.168.63.165,192.168.88.165,22
srv15-mme-5-TAC21-Primary,192.168.101.64,192.168.102.166,192.168.63.166,192.168.88.166,21
srv15-mme-6-tac18-secondary,192.168.101.65,192.168.102.167,192.168.63.167,192.168.88.167,18
srv15-mme-7-TAC16-Primary,192.168.101.66,192.168.102.168,192.168.63.168,192.168.88.168,16
srv15-mme-8-tac9-secondary,192.168.101.67,192.168.102.169,192.168.63.169,192.168.88.169,9
srv15-mme-9-tac7-primary,192.168.101.68,192.168.102.170,192.168.63.170,192.168.88.170,7
srv15-mme-10-tac4-secondary,192.168.101.69,192.168.102.171,192.168.63.171,192.168.88.171,4
srv16-mme-1-Karaj-TAC8-13-15-Primary,192.168.101.102,192.168.102.194,192.168.56.34,192.168.88.194,8-13-15-27
srv16-mme-2-TAC23-Primary,192.168.101.81,192.168.102.195,192.168.56.35,192.168.88.195,23
srv16-mme-3-tac20-secondary,192.168.101.82,192.168.102.196,192.168.56.36,192.168.88.196,20
srv16-mme-4-TAC19-Primary,192.168.101.83,192.168.102.197,192.168.56.37,192.168.88.197,19
srv16-mme-5-TAC11-12-14-Secondary,192.168.101.84,192.168.102.198,192.168.56.38,192.168.88.198,11-12-14
srv16-mme-6-TAC10-Primary,192.168.101.85,192.168.102.199,192.168.56.39,192.168.88.199,10
srv16-mme-7-tac17-secondary,192.168.101.86,192.168.102.200,192.168.56.40,192.168.88.200,17
srv16-mme-8-tac6-primary,192.168.101.87,192.168.102.201,192.168.56.41,192.168.88.201,6
srv16-mme-9-TAC3-Secondary,192.168.101.88,192.168.102.202,192.168.56.42,192.168.88.202,3
srv16-mme-10-tac1-primary,192.168.101.89,192.168.102.203,192.168.56.43,192.168.88.203,1
